market,funding_total_usd,region,city,funding_rounds,Founding_year,first_funding_year,last_funding_year,first_funding_gap,last_funding_gap,first_last_funding_gap,success
1,100000,131,570,1,2007,2007,2007,0,0,0,1
46,25500000,131,569,3,2008,2008,2012,0,4,4,1
284,100000,104,449,1,2013,2004,2004,-9,-9,0,0
29,33500000,59,691,2,2003,2005,2007,2,4,2,1
29,12300000,6,324,2,2007,2010,2014,3,7,4,0
145,5455180,123,429,6,0,2009,2013,0,0,4,1
1,500000,59,620,1,2007,2007,2007,0,0,0,0
10,0,116,673,1,1998,2008,2008,10,10,0,1
47,13000000,131,242,1,2009,2008,2008,-1,-1,0,0
29,50537423,105,516,6,0,2009,2013,0,0,4,0
172,980000,131,624,1,0,2008,2008,0,0,0,0
210,1000000,131,398,1,0,2009,2009,0,0,0,1
282,22800000,140,593,3,2005,2007,2011,2,6,4,1
1,1400000,131,486,2,2006,2007,2008,1,2,1,0
2,650000,123,189,1,2009,2011,2011,2,2,0,0
1,10250000,131,87,1,0,2007,2007,0,0,0,0
289,7970000,131,432,1,2001,2006,2006,5,5,0,1
29,1349360,32,145,1,0,2014,2014,0,0,0,0
368,28000000,131,530,2,1999,2008,2010,9,11,2,1
29,120500000,22,367,5,2004,2007,2011,3,7,4,0
79,0,131,569,1,0,2006,2006,0,0,0,1
146,63800000,11,38,4,2000,2010,2013,10,13,3,1
137,27500000,131,580,1,2002,2005,2005,3,3,0,1
29,0,17,60,1,2000,1998,1998,-2,-2,0,1
309,1171300,17,74,1,2000,2011,2011,11,11,0,1
1,74311925,131,573,8,2006,2005,2013,-1,7,8,1
301,50000,13,152,1,2012,2012,2012,0,0,0,0
309,10925000,38,359,2,1997,2009,2011,12,14,2,0
115,2000000,131,504,1,2005,2005,2005,0,0,0,1
115,22000000,131,580,2,0,2007,2009,0,0,2,1
220,1000000,132,549,1,0,2005,2005,0,0,0,0
29,37700000,132,170,2,1995,2007,2011,12,16,4,1
210,3000000,131,486,1,0,2008,2008,0,0,0,1
29,17000000,82,347,2,2002,2005,2007,3,5,2,1
210,17300000,131,570,2,2000,2007,2008,7,8,1,1
210,25000000,9,34,1,1999,2006,2006,7,7,0,1
335,27500000,116,222,2,1999,2000,2007,1,8,7,1
29,20000000,137,567,1,2006,2010,2010,4,4,0,1
368,3675000,13,152,1,2006,2011,2011,5,5,0,1
264,5000000,131,569,2,2011,2012,2014,1,3,2,0
210,225000000,9,34,2,2003,2013,2013,10,10,0,1
309,1024999,123,189,1,2013,2014,2014,1,1,0,0
309,32559918,17,95,2,2004,2006,2009,2,5,3,1
373,11500000,17,74,2,2009,2010,2011,1,2,1,1
51,0,38,76,1,2011,2013,2013,2,2,0,1
29,26100000,105,487,1,2005,2010,2010,5,5,0,1
243,36150000,131,573,5,0,2003,2013,0,0,10,0
309,53730000,17,354,5,2005,2005,2010,0,5,5,1
363,30200000,6,299,2,2003,2005,2008,2,5,3,1
145,845075,117,592,2,2009,2009,2014,0,5,5,0
186,10025000,38,76,5,0,2008,2012,0,0,4,1
29,36353283,123,189,5,0,2007,2012,0,0,5,1
29,4793666,17,95,1,2004,2013,2013,9,9,0,0
75,50000,123,189,1,2012,2012,2012,0,0,0,0
146,400000000,17,666,1,1981,2010,2010,29,29,0,1
102,27890167,87,408,3,2008,2009,2012,1,4,3,0
309,6000000,137,107,1,2001,2005,2005,4,4,0,1
146,125000000,6,299,1,2013,2014,2014,1,1,0,0
29,73000000,131,610,3,2006,2009,2014,3,8,5,1
115,0,131,581,1,2011,2011,2011,0,0,0,0
86,51662275,135,605,4,2005,2007,2014,2,9,7,1
29,5400000,17,389,1,2006,2011,2011,5,5,0,1
29,40816578,104,449,7,0,2011,2014,0,0,3,0
264,38000000,131,355,2,1999,2005,2006,6,7,1,0
79,2000000,17,99,1,2005,2010,2010,5,5,0,1
372,0,104,449,1,2009,2013,2013,4,4,0,0
226,4276568,131,569,2,2008,2006,2010,-2,2,4,0
326,8500000,127,195,3,1998,2005,2006,7,8,1,1
5,27200000,137,567,2,2002,2010,2012,8,10,2,1
148,55000000,17,99,2,2008,2008,2010,0,2,2,1
210,445000,159,544,1,2011,2011,2011,0,0,0,0
126,650000,104,449,3,2010,2011,2011,1,1,0,0
83,0,117,592,1,2012,2012,2012,0,0,0,0
198,72000000,131,580,1,2007,2011,2011,4,4,0,1
47,102000000,12,420,1,0,2011,2011,0,0,0,0
29,23466666,137,567,2,0,2009,2010,0,0,1,0
148,387996,131,624,1,2011,2012,2012,1,1,0,0
47,10000,78,651,1,1987,2009,2009,22,22,0,0
309,26800000,11,38,3,2001,2003,2005,2,4,2,1
29,32500000,131,610,2,0,2010,2012,0,0,2,0
105,26600000,131,569,2,2009,2009,2010,0,1,1,1
286,16000000,131,530,2,2007,2008,2010,1,3,2,1
47,228500000,107,476,2,0,2007,2007,0,0,0,0
284,9499393,104,449,4,2009,2009,2012,0,3,3,1
126,7700000,131,570,1,0,2008,2008,0,0,0,1
304,0,104,449,1,0,2009,2009,0,0,0,1
277,12800000,30,213,2,2005,2007,2011,2,6,4,0
289,64000000,131,363,3,2003,2006,2012,3,9,6,1
264,0,131,242,2,1998,1999,2000,1,2,1,1
79,28300000,131,468,2,0,2006,2007,0,0,1,1
29,113427869,137,567,5,2000,2009,2012,9,12,3,1
309,0,93,198,1,1984,2010,2010,26,26,0,1
198,15177722,127,540,3,1995,2011,2014,16,19,3,0
154,3740000,59,620,2,2009,2009,2014,0,5,5,0
